country,July_temp,Jan_temp,avg_temp,avg_water
AFG,25.26,0.07,12.92,311.32
AGO,17.95,22.58,21.51,991.31
ALB,20.54,2.02,11.27,1053.24
ARE,33.80,18.43,26.83,67.81
ARG,7.42,20.80,14.22,559.05
ARM,19.82,-8.66,6.37,502.28
AUS,13.95,27.78,21.51,473.09
AUT,15.26,-3.52,6.19,1161.18
AZE,24.76,-0.20,12.22,433.88
BDI,19.36,20.24,20.27,1262.81
BEL,17.24,1.95,9.51,874.30
BEN,25.84,26.57,27.46,1034.27
BFA,27.11,25.00,28.18,774.29
BGD,28.30,18.63,25.47,2266.52
BGR,20.85,-1.18,10.40,602.84
BHS,27.95,21.65,25.06,1280.08
BIH,18.52,-1.36,9.02,1071.76
BLR,17.72,-6.80,6.29,610.07
BLZ,26.45,22.37,25.06,2089.26
BOL,17.77,22.57,20.98,1095.56
BRA,23.24,25.58,24.92,1762.97
BRN,26.04,25.34,25.93,3160.78
BTN,14.80,0.56,8.58,1780.46
BWA,14.21,26.31,21.48,394.48
CAF,23.77,24.28,24.84,1354.67
CAN,11.11,-24.62,-7.14,457.47
CHE,13.03,-3.24,4.75,1646.41
CHL,4.04,12.68,8.37,631.17
CHN,19.37,-8.49,6.33,574.77
CIV,24.87,25.84,26.30,1356.08
CMR,23.37,23.88,24.53,1613.07
COD,22.82,24.14,24.04,1535.04
COG,23.03,24.70,24.52,1635.05
COL,23.79,24.62,24.40,2618.59
COM,21.97,25.09,23.99,1846.39
CRI,24.05,23.17,23.85,3268.27
CUB,27.44,22.21,25.13,1329.49
CYP,27.05,10.64,18.71,436.25
CZE,17.11,-2.81,7.67,667.00
DEU,17.19,-0.48,8.50,713.50
DJI,32.38,23.31,27.64,196.19
DNK,15.89,-0.11,7.82,698.65
DOM,25.21,21.76,23.93,1417.07
DZA,32.54,12.12,22.58,81.97
ECU,20.41,21.71,21.33,1945.27
EGY,29.12,12.93,22.12,32.91
ERI,28.28,22.25,26.07,257.70
ESH,28.94,17.72,23.39,35.83
ESP,22.03,5.59,13.03,622.99
EST,16.52,-6.51,5.03,629.79
ETH,22.28,21.17,22.37,830.51
FIN,15.18,-11.91,1.35,524.70
FJI,21.38,24.86,23.37,2905.11
FLK,2.02,9.37,5.79,568.95
FRA,18.60,3.11,10.54,838.93
GAB,22.98,25.72,25.00,1819.44
GBR,14.44,2.99,8.31,1154.30
GEO,18.80,-5.43,7.36,959.44
GHA,25.67,26.95,27.25,1184.94
GIN,24.52,24.25,25.55,1693.56
GLP,26.25,23.61,25.02,3042.52
GMB,27.36,23.87,26.77,990.48
GNB,26.17,24.26,26.61,1646.95
GNQ,22.75,24.57,24.13,2213.31
GRC,22.95,4.74,13.66,668.22
GTM,23.99,20.70,23.07,2606.33
GUF,25.39,24.98,25.62,2841.63
GUY,25.33,25.23,25.80,2364.69
HND,24.05,21.31,23.39,1945.76
HRV,20.04,-0.16,10.47,1037.35
HTI,25.87,22.50,24.48,1480.20
HUN,20.11,-2.03,10.06,571.75
IDN,25.27,25.51,25.72,2801.54
IND,26.91,16.84,23.95,1072.22
IRL,14.53,4.64,9.11,1110.63
IRN,28.59,4.39,16.93,227.36
IRQ,33.30,8.88,21.58,196.34
ISL,8.29,-3.17,1.35,1039.82
ISR,26.45,11.79,19.70,248.69
ITA,20.31,3.32,11.50,930.19
JAM,25.70,22.76,24.47,2114.18
JOR,26.90,8.34,18.35,102.31
JPN,21.34,-1.27,10.36,1603.76
KAZ,23.40,-12.31,5.99,252.26
KEN,22.85,24.92,24.50,678.11
KGZ,14.45,-14.26,1.09,390.72
KHM,27.35,24.87,26.94,1918.68
KOR,23.31,-3.58,10.66,1344.73
KSV,18.48,-2.72,8.42,862.64
KWT,36.25,12.35,25.15,108.59
LAO,25.49,18.69,23.22,1758.35
LBN,22.97,7.50,15.61,721.11
LBR,24.14,25.26,25.25,2460.08
LBY,29.40,12.38,21.90,45.98
LKA,27.40,25.13,26.76,1699.41
LSO,5.93,17.51,11.97,775.67
LTU,16.89,-5.47,6.24,651.72
LUX,17.39,0.37,8.88,848.81
LVA,16.55,-5.87,5.63,638.87
MAR,26.01,9.68,17.23,322.27
MDA,20.96,-3.33,9.67,538.89
MDG,18.89,24.29,22.01,1475.68
MEX,24.90,14.80,20.54,738.14
MKD,19.85,-0.98,9.85,632.50
MLI,31.81,21.25,28.30,303.01
MMR,24.91,18.00,22.96,2007.70
MNE,17.55,-2.10,7.91,1227.18
MNG,17.20,-20.56,-0.50,227.23
MOZ,19.63,26.03,23.69,1007.81
MRT,33.30,20.30,27.69,90.00
MUS,20.65,25.50,23.13,1953.02
MWI,18.05,23.49,21.98,1112.29
MYS,25.21,24.61,25.14,2992.79
NAM,14.14,24.26,20.04,273.83
NCL,18.97,24.72,21.96,1456.21
NER,31.24,19.05,27.24,160.80
NGA,25.85,24.60,26.78,1138.53
NIC,24.93,23.30,24.59,2406.97
NLD,16.55,1.99,9.20,766.07
NOR,11.64,-9.25,0.75,1051.84
NPL,18.81,4.16,12.74,1406.41
NZL,4.57,14.94,9.98,1790.95
OMN,28.69,19.92,25.45,88.21
PAK,28.66,8.67,19.98,301.02
PAN,25.12,24.18,24.72,2487.03
PER,18.05,20.09,19.46,1513.24
PHL,25.60,24.06,25.33,2317.59
PNG,24.06,25.47,25.05,3106.06
POL,17.52,-2.82,7.87,600.66
PRI,25.59,22.37,24.28,2126.02
PRK,20.08,-13.11,4.86,1110.43
PRT,21.72,9.05,14.97,835.35
PRY,18.57,27.74,23.48,1093.89
QAT,34.85,17.27,26.92,65.22
REU,18.28,23.51,21.08,1987.51
ROU,19.19,-3.73,8.81,642.21
RUS,14.79,-27.00,-6.32,434.80
RWA,18.60,19.02,19.01,1162.80
SAU,32.04,15.35,24.65,73.40
SDN,29.84,20.43,26.82,234.04
SEN,28.47,24.32,27.87,701.10
SJM,4.10,-18.31,-9.14,543.01
SLB,24.61,26.34,25.68,3157.37
SLE,24.95,25.19,26.04,2471.72
SLV,25.16,23.95,24.77,1672.81
SOM,27.11,25.03,26.77,265.35
SRB,20.29,-1.52,10.18,726.46
SSD,25.45,26.44,26.93,956.58
SUR,25.60,25.04,25.77,2316.81
SVK,16.95,-4.17,7.27,767.52
SVN,17.38,-2.09,8.04,1361.81
SWE,13.51,-10.07,1.55,621.15
SWZ,15.91,24.20,20.41,798.37
SYR,28.73,6.12,17.65,296.37
TCD,29.26,20.66,26.65,330.51
TGO,25.01,26.69,26.80,1189.11
THA,27.19,23.10,26.25,1532.48
TJK,15.38,-10.20,3.03,492.02
TKM,29.35,1.01,15.22,156.75
TLS,23.81,25.46,24.97,1239.77
TTO,26.06,24.72,25.86,1831.41
